NOC,Gold,Silver,Bronze,Total,level
United States,1105,879,780,2764,5
Great Britain,299,339,343,981,4
France,240,278,299,817,4
Soviet Union,395,319,296,1010,4
Germany,220,225,259,704,3
Italy,230,205,228,663,3
Australia,182,192,226,600,3
China,303,226,198,727,5
Japan,189,162,193,544,3
Sweden,152,181,183,516,3
Hungary,187,162,182,531,3
Canada,80,117,157,354,2
Russia,147,126,150,423,3
Poland,74,95,144,313,2
Netherlands,110,112,135,357,2
East Germany,153,129,127,409,3
Romania,93,101,123,317,2
Finland,102,85,119,306,2
South Korea,109,100,111,320,2
Cuba,86,70,88,244,2
Bulgaria,57,89,85,231,2
Denmark,50,82,84,216,2
West Germany,56,67,81,204,2
Brazil,40,49,81,170,2
Switzerland,57,81,79,217,2
Ukraine,38,41,72,151,2
Belgium,47,57,65,169,2
Spain,53,76,58,187,2
New Zealand,63,40,54,157,2
Norway,65,53,53,171,2
Greece,36,46,47,129,2
Czechoslovakia,49,50,47,146,2
Austria,23,36,46,105,1
Belarus,13,30,42,85,1
Kenya,39,44,41,124,2
Turkey,41,29,41,111,1
Kazakhstan,15,25,38,78,1
Mexico,13,27,37,77,1
United Team of Germany,28,54,36,118,1
Iran,27,29,32,88,1
Azerbaijan,9,16,31,56,1
Argentina,22,27,31,80,1
South Africa,28,36,31,95,1
Unified Team,45,38,29,112,1
Jamaica,27,39,28,94,1
Yugoslavia,26,29,28,83,1
Czech Republic,22,22,28,72,1
North Korea,16,18,26,60,1
ROC,20,28,23,71,1
Ethiopia,24,15,23,62,1
Uzbekistan,18,8,23,49,1
Chinese Taipei,9,10,22,41,1
India,10,10,21,41,1
Egypt,9,12,20,41,1
Thailand,11,11,19,41,1
Georgia,13,15,19,47,1
Estonia,10,9,17,36,1
Ireland,15,10,17,42,1
Mongolia,2,12,17,31,1
Colombia,5,16,17,38,1
Croatia,16,15,17,48,1
Indonesia,10,14,16,40,1
Portugal,6,11,15,32,1
Lithuania,6,9,15,30,1
Morocco,8,5,13,26,1
Nigeria,3,11,13,27,1
Serbia,9,8,12,29,1
Slovenia,10,10,11,31,1
Trinidad and Tobago,3,5,11,19,1
Philippines,3,5,10,18,1
Israel,4,6,10,20,1
Slovakia,10,14,9,33,1
Venezuela,3,7,9,19,1
Armenia,2,11,9,22,1
Algeria,7,4,9,20,1
Mixed team,11,6,8,25,1
Puerto Rico,2,2,8,12,1
Kyrgyzstan,0,5,8,13,1
Tunisia,6,4,8,18,1
Malaysia,0,8,7,15,1
Moldova,0,3,7,10,1
Latvia,4,11,6,21,1
Hong Kong,4,3,6,13,1
Dominican Republic,4,5,6,15,1
Bahamas,8,2,6,16,1
Uruguay,2,2,6,10,1
Australasia,3,4,5,12,1
Qatar,2,2,5,9,1
Tajikistan,1,1,5,7,1
Pakistan,4,3,4,11,1
Ghana,0,1,4,5,1
Chile,3,8,4,15,1
Singapore,1,2,3,6,1
FR Yugoslavia,2,2,3,7,1
Kuwait,0,0,3,3,1
Grenada,1,1,3,5,1
Ivory Coast,1,1,3,5,1
Bohemia,0,1,3,4,1
Uganda,5,5,3,13,1
Russian Empire,1,4,3,8,1
Afghanistan,0,0,2,2,1
Albania,0,0,2,2,1
British West Indies,0,0,2,2,1
San Marino,0,1,2,3,1
Independent Olympic Participants,0,1,2,3,1
Ecuador,4,4,2,10,1
Saudi Arabia,0,2,2,4,1
Cameroon,3,1,2,6,1
Costa Rica,1,1,2,4,1
Panama,1,1,2,4,1
Zambia,0,1,2,3,1
Lebanon,0,2,2,4,1
Iceland,0,2,2,4,1
Syria,1,1,2,4,1
Peru,1,3,1,5,1
Zimbabwe,3,4,1,8,1
Refugee Olympic Team,0,0,1,1,1
Vietnam,1,3,1,5,1
Bahrain,4,3,1,8,1
Kosovo,3,1,1,5,1
Haiti,0,1,1,2,1
Niger,0,1,1,2,1
Fiji,2,1,1,4,1
Guyana,0,0,1,1,1
Suriname,1,0,1,2,1
United Arab Emirates,1,0,1,2,1
Bermuda,1,0,1,2,1
Independent Olympic Athletes,1,0,1,2,1
Jordan,1,2,1,4,1
Guatemala,1,1,1,3,1
Cabo Verde,0,0,1,1,1
Botswana,1,2,1,4,1
Mozambique,1,0,1,2,1
Mauritius,0,0,1,1,1
Taiwan,0,0,1,1,1
Macedonia,0,0,1,1,1
Togo,0,0,1,1,1
Eritrea,0,0,1,1,1
Iraq,0,0,1,1,1
Burkina Faso,0,0,1,1,1
Barbados,0,0,1,1,1
Djibouti,0,0,1,1,1
Namibia,0,5,0,5,1
Cyprus,0,2,0,2,1
Serbia and Montenegro,0,2,0,2,1
Burundi,1,1,0,2,1
Tanzania,0,2,0,2,1
Luxembourg,2,1,0,3,1
Saint Lucia,1,1,0,2,1
Ceylon,0,1,0,1,1
Formosa,0,1,0,1,1
Gabon,0,1,0,1,1
Virgin Islands,0,1,0,1,1
Tonga,0,1,0,1,1
Dominica,1,0,0,1,1
Samoa,0,1,0,1,1
Turkmenistan,0,1,0,1,1
Sudan,0,1,0,1,1
Sri Lanka,0,1,0,1,1
Paraguay,0,1,0,1,1
North Macedonia,0,1,0,1,1
Senegal,0,1,0,1,1
Montenegro,0,1,0,1,1
Netherlands Antilles,0,1,0,1,1
