Country,Gold,Silver,Bronze

FRA,59,49,55

DEN,30,22,16

NED,62,17,38

FIN,7,15,6

NOR,29,8,12

ROU,30,18,9

EST,1,2,3

CHN,89,91,39

MAR,-1,6,13

ESP,75,30,33

EGY,2,12,10

IRI,13,6,5

BUL,3,3,1

ITA,38,52,55

AZE,4,3,5

ARG,11,24,19

CUB,7,5,3

GRE,19,11,9

TUR,8,5,13

CHI,2,5,0

MEX,14,11,8

USA,134,90,64

HUN,20,21,20

NGR,11,8,10

ALG,5,6,4

BRN,2,5,0

IRQ,2,9,1

QAT,1,1,0

MAS,0,4,0

GER,47,67,42

CAN,39,25,40

IRL,16,27,16

AUS,83,55,56

RSA,20,21,10

ERI,1,5,0

TAN,0,2,0

JOR,0,2,0

TUN,1,2,0

BEL,39,27,22

DJI,0,2,0

KAZ,10,11,7

IND,21,11,11

ETH,6,15,5

UAE,0,2,0

INA,1,4,5

PHI,2,0,0

SGP,1,2,3

UZB,11,5,6

KGZ,0,4,0

TJK,0,2,0

JPN,42,67,36

SUI,13,12,16

BRA,22,26,34

ISR,7,7,4

URU,1,7,0

SWE,13,10,13

ARM,1,2,0

CIV,0,2,0

KEN,14,19,12

GBR,65,61,39

GHA,0,2,0

MLI,2,9,1

POL,31,18,21

GEO,7,7,2

SLO,10,8,21

NZL,50,38,23

POR,7,10,8

PAR,2,10,1

ANG,1,7,0

VEN,3,7,5

COL,14,9,2

PER,0,5,0

PUR,10,8,5

UGA,4,10,3

ECU,7,2,9

LUX,0,2,0

TTO,2,3,1

DOM,15,10,8

JAM,13,31,9

LBR,0,4,0

MGL,3,10,4

AUT,9,2,3

LTU,7,6,3

UKR,11,21,23

SAM,0,4,0

CRO,6,6,1

CYP,0,2,0

GUI,2,10,1

THA,5,5,4

FIJ,5,14,1

MDA,1,5,2

BAH,3,5,2

GUA,3,2,3

LAT,9,3,9

SRB,11,22,16

SVK,0,2,2

BOT,2,5,1

KOR,30,13,10

CZE,14,10,12

ZIM,0,2,0

GRN,1,2,0

HKG,2,4,3

ZAM,4,9,0

TPE,5,3,0

MNE,0,5,0

BDI,0,2,0

KOS,1,2,0

SSD,0,5,0

EOR,4,6,7

AIN,3,3,0

