Sport,0
Roque,1.0
Ice Hockey,0.4074074074074074
Swimming,0.34419140962813494
Softball,0.33519553072625696
Baseball/Softball,0.3333333333333333
Jeu De Paume,0.3333333333333333
Basketball,0.3183306055646481
Diving,0.29458917835671344
Athletics,0.26665161435990065
Rugby,0.2111801242236025
Skateboarding,0.20833333333333334
Artistic Gymnastics,0.203125
Baseball,0.20238095238095238
Golf,0.1896551724137931
Breaking,0.16666666666666666
Cycling BMX Freestyle,0.16666666666666666
3x3 Basketball,0.16666666666666666
Surfing,0.16666666666666666
Sport Climbing,0.16666666666666666
Shooting,0.1556390977443609
